AlumniEventID,AlumniID,EventID,ParticipationDate,FeedbackScore
AE00110,ALU1413,EVT0012,1/15/2023,2
AE00111,ALU1467,EVT0029,4/25/2025,4
AE00112,ALU1378,EVT0024,10/18/2024,2
AE00113,ALU0939,EVT0033,7/5/2025,4
AE00114,ALU0799,EVT0028,5/17/2025,4
AE00115,ALU0880,EVT0011,4/30/2025,4
AE00116,ALU0121,EVT0014,2/3/2023,4
AE00117,ALU0909,EVT0017,3/22/2023,3
AE00118,ALU1965,EVT0011,8/30/2025,2
AE00119,ALU0681,EVT0029,10/24/2025,5
AE00120,ALU1046,EVT0004,10/29/2024,1
AE00121,ALU0441,EVT0018,8/7/2024,3
AE00122,ALU1553,EVT0009,7/8/2023,1
AE00123,ALU0760,EVT0009,12/16/2023,5
AE00124,ALU1731,EVT0001,12/17/2024,5
AE00125,ALU1169,EVT0015,8/22/2024,5
AE00126,ALU0580,EVT0019,4/14/2025,3
AE00127,ALU0973,EVT0032,8/24/2025,3
AE00128,ALU0158,EVT0005,9/26/2023,4
AE00129,ALU1611,EVT0032,4/8/2024,5
AE00130,ALU1003,EVT0021,3/4/2024,4
AE00131,ALU1709,EVT0018,3/7/2025,3
AE00132,ALU1048,EVT0022,9/13/2023,4
AE00133,ALU0663,EVT0005,10/28/2023,3
AE00134,ALU0158,EVT0023,12/5/2023,3
AE00135,ALU1422,EVT0029,8/3/2025,2
AE00136,ALU1277,EVT0032,1/14/2023,5
AE00137,ALU0200,EVT0016,12/8/2022,3
AE00138,ALU0895,EVT0030,12/1/2023,5
AE00139,ALU1347,EVT0014,4/14/2024,2
AE00140,ALU1102,EVT0029,12/12/2022,4
AE00141,ALU1207,EVT0012,2/27/2024,2
AE00142,ALU1262,EVT0004,5/11/2025,1
AE00143,ALU1924,EVT0031,2/6/2024,3
AE00144,ALU1391,EVT0034,1/7/2025,3
AE00145,ALU1434,EVT0034,10/24/2024,4
AE00146,ALU0068,EVT0008,8/4/2025,3
AE00147,ALU1333,EVT0024,4/29/2025,1
AE00148,ALU0141,EVT0035,8/5/2023,1
AE00149,ALU0300,EVT0030,3/21/2023,5
AE00150,ALU1555,EVT0029,10/8/2023,3
AE00151,ALU0485,EVT0030,10/18/2023,1
AE00152,ALU1975,EVT0013,4/25/2024,2
AE00153,ALU0580,EVT0018,10/7/2025,2
AE00154,ALU0215,EVT0008,7/26/2025,3
AE00155,ALU1697,EVT0029,1/1/2024,3
AE00156,ALU1416,EVT0035,3/2/2023,1
AE00157,ALU0793,EVT0025,12/27/2023,1
AE00158,ALU0441,EVT0021,5/2/2025,1
AE00159,ALU1106,EVT0004,2/29/2024,5
AE00160,ALU1487,EVT0035,2/12/2025,2
AE00161,ALU0014,EVT0015,2/15/2023,1
AE00162,ALU1779,EVT0016,9/26/2023,3
AE00163,ALU1285,EVT0003,12/28/2023,1
AE00164,ALU0122,EVT0028,12/16/2022,5
AE00165,ALU1708,EVT0015,4/9/2024,2
AE00166,ALU1263,EVT0023,10/13/2024,2
AE00167,ALU1820,EVT0009,1/11/2024,5
AE00168,ALU0942,EVT0033,12/21/2023,3
AE00169,ALU1297,EVT0026,2/7/2025,5
AE00170,ALU1000,EVT0013,9/12/2025,4
AE00171,ALU1375,EVT0014,4/17/2025,4
AE00172,ALU0242,EVT0001,1/26/2023,3
AE00173,ALU0738,EVT0005,10/10/2024,5
AE00174,ALU0109,EVT0035,10/13/2023,2
AE00175,ALU0242,EVT0002,5/31/2025,3
AE00176,ALU1454,EVT0016,4/17/2024,2
AE00177,ALU1278,EVT0031,5/21/2025,4
AE00178,ALU1208,EVT0024,6/15/2024,4
AE00179,ALU0728,EVT0013,9/8/2025,4
AE00180,ALU0125,EVT0002,1/27/2024,2
AE00181,ALU0239,EVT0006,6/26/2023,5
AE00182,ALU0468,EVT0016,4/1/2025,2
AE00183,ALU0715,EVT0019,11/16/2023,5
AE00184,ALU1955,EVT0030,4/20/2023,5
AE00185,ALU0595,EVT0017,2/29/2024,1
AE00186,ALU0122,EVT0034,9/3/2023,5
AE00187,ALU1754,EVT0009,4/26/2024,1
AE00188,ALU0066,EVT0026,10/2/2024,4
AE00189,ALU1052,EVT0033,2/6/2024,2
AE00190,ALU1756,EVT0010,8/4/2025,4
AE00191,ALU1533,EVT0009,12/19/2022,5
AE00192,ALU1828,EVT0001,3/20/2025,5
AE00193,ALU0031,EVT0001,5/16/2024,5
AE00194,ALU0330,EVT0014,7/1/2024,3
AE00195,ALU1994,EVT0031,12/4/2024,3
AE00196,ALU0375,EVT0024,12/27/2023,5
AE00197,ALU1761,EVT0010,9/15/2025,5
AE00198,ALU0311,EVT0004,8/15/2025,5
AE00199,ALU1326,EVT0006,7/26/2024,2
AE00200,ALU0680,EVT0006,12/23/2023,2
AE00201,ALU1526,EVT0034,12/24/2023,1
AE00202,ALU0504,EVT0026,10/16/2025,3
AE00203,ALU1123,EVT0011,7/18/2025,1
AE00204,ALU0336,EVT0001,3/15/2023,5
AE00205,ALU1783,EVT0012,1/15/2025,1
AE00206,ALU0834,EVT0014,10/4/2025,4
AE00207,ALU0222,EVT0035,7/10/2023,2
AE00208,ALU0591,EVT0024,12/3/2023,2
AE00209,ALU1556,EVT0030,5/23/2024,1
AE00210,ALU0545,EVT0031,2/9/2024,1
AE00211,ALU0624,EVT0026,4/12/2024,1
AE00212,ALU1366,EVT0028,6/2/2023,5
AE00213,ALU0793,EVT0005,4/30/2023,2
AE00214,ALU1949,EVT0026,8/29/2024,4
AE00215,ALU1346,EVT0009,3/28/2024,3
AE00216,ALU0576,EVT0030,9/25/2024,2
AE00217,ALU1624,EVT0001,12/31/2023,4
AE00218,ALU1826,EVT0023,2/5/2024,2
AE00219,ALU1152,EVT0013,10/31/2024,5
AE00220,ALU1270,EVT0026,2/2/2025,4
AE00221,ALU1642,EVT0002,10/18/2024,1
AE00222,ALU1709,EVT0002,1/26/2024,4
AE00223,ALU0905,EVT0016,3/15/2023,3
AE00224,ALU0504,EVT0004,11/24/2023,2
AE00225,ALU1739,EVT0033,3/20/2024,2
AE00226,ALU0348,EVT0018,9/25/2025,2
AE00227,ALU0262,EVT0017,11/27/2022,2
AE00228,ALU0810,EVT0018,3/31/2024,3
AE00229,ALU0874,EVT0004,2/7/2023,3
AE00230,ALU0940,EVT0028,10/13/2023,2
AE00231,ALU1461,EVT0031,10/9/2023,2
AE00232,ALU0840,EVT0004,7/23/2025,2
AE00233,ALU1335,EVT0017,10/25/2023,3
AE00234,ALU0132,EVT0023,6/30/2024,2
AE00235,ALU0763,EVT0014,4/17/2023,1
AE00236,ALU0654,EVT0006,6/13/2025,5
AE00237,ALU0728,EVT0010,9/26/2023,3
AE00238,ALU1135,EVT0012,9/10/2025,2
AE00239,ALU1605,EVT0006,5/23/2023,4
AE00240,ALU1529,EVT0031,1/24/2025,5
AE00241,ALU0516,EVT0034,6/23/2025,2
AE00242,ALU0136,EVT0013,4/11/2025,4
AE00243,ALU1184,EVT0023,6/17/2024,1
AE00244,ALU1116,EVT0021,11/28/2023,2
AE00245,ALU0159,EVT0007,2/3/2025,5
AE00246,ALU0106,EVT0014,9/25/2023,3
AE00247,ALU1726,EVT0003,12/8/2024,4
AE00248,ALU0442,EVT0035,5/27/2023,2
AE00249,ALU1515,EVT0019,1/26/2025,3
AE00250,ALU0327,EVT0002,4/30/2023,5
AE00251,ALU1873,EVT0018,12/6/2023,1
AE00252,ALU0621,EVT0012,7/2/2025,1
AE00253,ALU0511,EVT0026,7/4/2025,5
AE00254,ALU1083,EVT0027,6/1/2023,1
AE00255,ALU0342,EVT0020,3/9/2023,4
AE00256,ALU0405,EVT0030,8/25/2024,4
AE00257,ALU1891,EVT0011,6/1/2025,1
AE00258,ALU1322,EVT0004,11/7/2024,5
AE00259,ALU1182,EVT0031,11/24/2022,4
AE00260,ALU0010,EVT0024,9/25/2024,3
AE00261,ALU0450,EVT0014,3/6/2023,1
AE00262,ALU1049,EVT0016,12/25/2023,4
AE00263,ALU0414,EVT0005,1/2/2023,2
AE00264,ALU0683,EVT0022,7/3/2025,2
AE00265,ALU0753,EVT0006,2/8/2023,4
AE00266,ALU1964,EVT0003,11/25/2023,3
AE00267,ALU0729,EVT0029,10/27/2024,1
AE00268,ALU0919,EVT0026,4/7/2023,2
AE00269,ALU1043,EVT0033,10/1/2023,4
AE00270,ALU1214,EVT0028,8/7/2025,1
AE00271,ALU1992,EVT0015,6/4/2025,3
AE00272,ALU1453,EVT0011,11/5/2022,2
AE00273,ALU1097,EVT0024,1/31/2024,1
AE00274,ALU1700,EVT0022,3/9/2025,4
AE00275,ALU0805,EVT0029,2/19/2024,2
AE00276,ALU0496,EVT0012,2/17/2024,5
AE00277,ALU1087,EVT0035,4/5/2023,2
AE00278,ALU1679,EVT0002,10/13/2024,1
AE00279,ALU1743,EVT0028,1/13/2023,1
AE00280,ALU1906,EVT0035,12/24/2024,4
AE00281,ALU0642,EVT0027,11/28/2022,4
AE00282,ALU0573,EVT0013,9/17/2024,2
AE00283,ALU0921,EVT0003,3/2/2023,3
AE00284,ALU1102,EVT0007,1/8/2023,1
AE00285,ALU0501,EVT0001,5/21/2025,2
AE00286,ALU1339,EVT0007,12/28/2022,4
AE00287,ALU1040,EVT0021,1/1/2025,3
AE00288,ALU0395,EVT0005,9/2/2023,2
AE00289,ALU1008,EVT0012,7/23/2024,5
AE00290,ALU1963,EVT0028,8/1/2023,3
AE00291,ALU1029,EVT0033,9/23/2025,5
AE00292,ALU1413,EVT0001,12/18/2023,1
AE00293,ALU0797,EVT0018,3/27/2023,5
AE00294,ALU0964,EVT0021,1/17/2024,5
AE00295,ALU1812,EVT0014,7/19/2023,5
AE00296,ALU1310,EVT0034,4/10/2024,1
AE00297,ALU0056,EVT0009,8/17/2025,1
AE00298,ALU1589,EVT0031,8/4/2024,4
AE00299,ALU1696,EVT0029,5/28/2023,1
AE00300,ALU0815,EVT0035,3/23/2023,2
AE00301,ALU1009,EVT0001,11/25/2023,3
AE00302,ALU0125,EVT0003,6/24/2023,1
AE00303,ALU0517,EVT0015,11/28/2024,4
AE00304,ALU0200,EVT0024,2/1/2025,2
AE00305,ALU1433,EVT0026,8/22/2023,3
AE00306,ALU0801,EVT0007,9/5/2024,3
AE00307,ALU1228,EVT0006,3/9/2024,2
AE00308,ALU1744,EVT0014,3/27/2023,2
AE00309,ALU0938,EVT0006,3/13/2023,3
AE00310,ALU1346,EVT0032,9/27/2024,2
AE00311,ALU1420,EVT0035,11/30/2023,5
AE00312,ALU0750,EVT0021,6/12/2024,5
AE00313,ALU1859,EVT0022,7/19/2024,3
AE00314,ALU1443,EVT0005,4/21/2024,1
AE00315,ALU0908,EVT0007,8/14/2025,5
AE00316,ALU1240,EVT0032,7/6/2025,2
AE00317,ALU1527,EVT0008,10/13/2024,3
AE00318,ALU0385,EVT0033,11/25/2023,3
AE00319,ALU1235,EVT0005,5/1/2024,4
AE00320,ALU1462,EVT0006,6/9/2025,5
AE00321,ALU0269,EVT0022,7/26/2025,2
AE00322,ALU0215,EVT0032,8/24/2025,2
AE00323,ALU1649,EVT0027,9/13/2025,4
AE00324,ALU1395,EVT0019,2/6/2023,5
AE00325,ALU1669,EVT0005,2/20/2025,2
AE00326,ALU0337,EVT0018,12/16/2023,1
AE00327,ALU1630,EVT0006,11/6/2023,1
AE00328,ALU0622,EVT0034,1/14/2023,2
AE00329,ALU1788,EVT0019,3/16/2024,4
AE00330,ALU1262,EVT0026,3/20/2024,1
AE00331,ALU0332,EVT0023,1/26/2024,3
AE00332,ALU0870,EVT0021,7/10/2024,5
AE00333,ALU0133,EVT0010,2/9/2025,4
AE00334,ALU0128,EVT0022,4/28/2024,3
AE00335,ALU1781,EVT0007,11/1/2022,5
AE00336,ALU1289,EVT0009,6/14/2023,1
AE00337,ALU0613,EVT0027,5/10/2025,1
AE00338,ALU1710,EVT0035,4/3/2025,5
AE00339,ALU1741,EVT0026,12/6/2022,4
AE00340,ALU1246,EVT0030,11/8/2024,5
AE00341,ALU1590,EVT0028,9/12/2025,2
AE00342,ALU1937,EVT0020,10/17/2024,5
AE00343,ALU1906,EVT0001,4/11/2023,4
AE00344,ALU1013,EVT0013,6/1/2025,3
AE00345,ALU0370,EVT0033,9/9/2024,5
AE00346,ALU1160,EVT0008,10/30/2024,1
AE00347,ALU1605,EVT0034,1/31/2024,4
AE00348,ALU1895,EVT0027,3/17/2023,1
AE00349,ALU1549,EVT0024,7/23/2025,5
AE00350,ALU1267,EVT0004,9/1/2024,3
AE00351,ALU0722,EVT0012,3/20/2024,1
AE00352,ALU0032,EVT0028,9/29/2024,4
AE00353,ALU0803,EVT0013,6/4/2024,5
AE00354,ALU1528,EVT0022,9/17/2024,3
AE00355,ALU1477,EVT0021,3/19/2025,1
AE00356,ALU0627,EVT0024,5/18/2024,3
AE00357,ALU0308,EVT0024,10/10/2023,2
AE00358,ALU0523,EVT0011,8/10/2024,1
AE00359,ALU1949,EVT0029,6/18/2023,4
AE00360,ALU1540,EVT0006,12/14/2023,1
AE00361,ALU0380,EVT0001,8/27/2025,3
AE00362,ALU0907,EVT0009,7/20/2023,5
AE00363,ALU0812,EVT0033,4/20/2025,2
AE00364,ALU0165,EVT0002,3/16/2025,3
AE00365,ALU1048,EVT0006,8/29/2025,1
AE00366,ALU1650,EVT0018,2/1/2024,3
AE00367,ALU1712,EVT0016,9/23/2023,5
AE00368,ALU1752,EVT0008,11/15/2024,1
AE00369,ALU0817,EVT0028,7/19/2025,1
AE00370,ALU1169,EVT0021,7/29/2025,1
AE00371,ALU1179,EVT0032,8/20/2023,1
AE00372,ALU1598,EVT0029,12/31/2023,5
AE00373,ALU0192,EVT0033,8/8/2024,4
AE00374,ALU1728,EVT0032,1/15/2025,5
AE00375,ALU1216,EVT0010,1/15/2025,1
AE00376,ALU1944,EVT0023,2/24/2023,4
AE00377,ALU0868,EVT0025,8/16/2023,1
AE00378,ALU0825,EVT0016,4/15/2023,1
AE00379,ALU0226,EVT0005,4/28/2024,4
AE00380,ALU1962,EVT0006,9/3/2025,4
AE00381,ALU0251,EVT0001,2/9/2023,1
AE00382,ALU0951,EVT0026,11/4/2023,3
AE00383,ALU1307,EVT0020,9/6/2025,1
AE00384,ALU1263,EVT0035,3/6/2025,4
AE00385,ALU1984,EVT0035,5/16/2025,4
AE00386,ALU1076,EVT0021,11/13/2022,1
AE00387,ALU1837,EVT0027,6/5/2023,2
AE00388,ALU1722,EVT0022,12/5/2023,3
AE00389,ALU0285,EVT0008,3/26/2023,1
AE00390,ALU0950,EVT0009,6/26/2023,3
AE00391,ALU0620,EVT0014,5/20/2023,2
AE00392,ALU0221,EVT0021,9/7/2025,2
AE00393,ALU0647,EVT0017,4/16/2024,2
AE00394,ALU0511,EVT0006,8/31/2025,4
AE00395,ALU0986,EVT0009,6/9/2025,3
AE00396,ALU0384,EVT0013,12/18/2022,3
AE00397,ALU0132,EVT0009,5/20/2025,4
AE00398,ALU1498,EVT0021,1/23/2024,5
AE00399,ALU0073,EVT0034,2/29/2024,4
AE00400,ALU1960,EVT0034,10/9/2024,5
AE00401,ALU0491,EVT0024,3/23/2024,2
AE00402,ALU0341,EVT0006,2/6/2024,4
AE00403,ALU0716,EVT0015,5/17/2025,2
AE00404,ALU1021,EVT0017,9/22/2025,3
AE00405,ALU0908,EVT0011,12/10/2022,4
AE00406,ALU1769,EVT0030,5/9/2023,4
AE00407,ALU0723,EVT0016,12/13/2024,3
AE00408,ALU0203,EVT0005,7/17/2023,5
AE00409,ALU1133,EVT0009,4/30/2023,3
AE00410,ALU0696,EVT0022,12/3/2022,5
AE00411,ALU1544,EVT0024,12/29/2023,4
AE00412,ALU0248,EVT0010,3/5/2024,5
AE00413,ALU1218,EVT0024,2/1/2023,2
AE00414,ALU0052,EVT0018,8/7/2023,1
AE00415,ALU1275,EVT0011,6/18/2024,3
AE00416,ALU1403,EVT0002,1/20/2025,5
AE00417,ALU0554,EVT0016,11/2/2023,5
AE00418,ALU1218,EVT0021,7/6/2025,3
AE00419,ALU1414,EVT0028,8/19/2025,2
AE00420,ALU0449,EVT0016,5/2/2023,4
AE00421,ALU1425,EVT0002,2/16/2023,4
AE00422,ALU0665,EVT0025,8/31/2024,5
AE00423,ALU1987,EVT0012,1/11/2023,2
AE00424,ALU0365,EVT0016,4/2/2023,1
AE00425,ALU1377,EVT0009,3/22/2024,1
AE00426,ALU1817,EVT0018,11/7/2022,3
AE00427,ALU0895,EVT0030,7/26/2023,4
AE00428,ALU1828,EVT0015,1/28/2024,1
AE00429,ALU1310,EVT0027,7/31/2025,1
AE00430,ALU0651,EVT0014,5/7/2025,3
AE00431,ALU1932,EVT0023,4/6/2023,2
AE00432,ALU1864,EVT0002,3/2/2024,3
AE00433,ALU0713,EVT0032,3/7/2024,1
AE00434,ALU1596,EVT0034,9/16/2024,5
AE00435,ALU0310,EVT0003,12/6/2022,3
AE00436,ALU1547,EVT0001,8/8/2023,4
AE00437,ALU1188,EVT0027,10/2/2023,2
AE00438,ALU0215,EVT0026,2/22/2025,3
AE00439,ALU1980,EVT0034,7/10/2024,3
AE00440,ALU1646,EVT0024,12/5/2024,1
AE00441,ALU0318,EVT0029,3/11/2023,2
AE00442,ALU1043,EVT0032,10/27/2023,2
AE00443,ALU0755,EVT0033,12/9/2022,1
AE00444,ALU1702,EVT0028,9/22/2023,2
AE00445,ALU1497,EVT0027,7/18/2023,1
AE00446,ALU1731,EVT0014,7/31/2025,5
AE00447,ALU1906,EVT0013,7/17/2023,5
AE00448,ALU0102,EVT0021,1/1/2024,5
AE00449,ALU1612,EVT0026,6/6/2023,3
AE00450,ALU0187,EVT0025,11/16/2023,5
AE00451,ALU0687,EVT0027,11/12/2024,4
AE00452,ALU1332,EVT0024,4/2/2024,5
AE00453,ALU1474,EVT0023,11/13/2022,3
AE00454,ALU1582,EVT0002,8/28/2024,1
AE00455,ALU1451,EVT0030,12/23/2024,1
AE00456,ALU1815,EVT0002,1/6/2025,1
AE00457,ALU0515,EVT0007,7/2/2025,2
AE00458,ALU0223,EVT0001,5/11/2023,2
AE00459,ALU1607,EVT0015,5/27/2024,2
AE00460,ALU0475,EVT0023,10/21/2023,5
AE00461,ALU0096,EVT0028,1/27/2024,4
AE00462,ALU1748,EVT0032,9/16/2023,1
AE00463,ALU0949,EVT0004,11/19/2022,5
AE00464,ALU0183,EVT0024,5/9/2023,2
AE00465,ALU1658,EVT0024,7/17/2025,5
AE00466,ALU0759,EVT0016,11/11/2024,1
AE00467,ALU0003,EVT0003,6/7/2023,5
AE00468,ALU1617,EVT0025,12/26/2023,3
AE00469,ALU0533,EVT0004,10/8/2025,1
AE00470,ALU1775,EVT0005,9/21/2023,1
AE00471,ALU0563,EVT0034,8/14/2024,5
AE00472,ALU0086,EVT0005,5/25/2023,3
AE00473,ALU1521,EVT0020,11/27/2023,1
AE00474,ALU1568,EVT0016,10/27/2024,3
AE00475,ALU0601,EVT0035,2/21/2024,1
AE00476,ALU0186,EVT0016,3/13/2023,4
AE00477,ALU0528,EVT0001,3/10/2024,1
AE00478,ALU1382,EVT0015,1/1/2025,3
AE00479,ALU0965,EVT0011,8/26/2024,3
AE00480,ALU1591,EVT0012,2/6/2023,3
AE00481,ALU1736,EVT0021,7/18/2024,2
AE00482,ALU0640,EVT0019,4/11/2024,5
AE00483,ALU1531,EVT0025,2/13/2023,3
AE00484,ALU1728,EVT0030,12/2/2023,5
AE00485,ALU0652,EVT0035,5/24/2023,5
AE00486,ALU1913,EVT0028,11/11/2024,1
AE00487,ALU1415,EVT0013,10/15/2023,5
AE00488,ALU0509,EVT0006,6/10/2023,3
AE00489,ALU1413,EVT0013,8/25/2024,5
AE00490,ALU1808,EVT0033,7/20/2023,2
AE00491,ALU0827,EVT0003,12/19/2023,3
AE00492,ALU0492,EVT0001,2/12/2023,3
AE00493,ALU0257,EVT0023,12/7/2023,2
AE00494,ALU0217,EVT0007,3/12/2025,3
AE00495,ALU0869,EVT0005,1/5/2025,4
AE00496,ALU1607,EVT0013,2/11/2025,3
AE00497,ALU1817,EVT0007,6/6/2024,5
AE00498,ALU1233,EVT0017,9/12/2024,5
AE00499,ALU1662,EVT0004,7/4/2025,3
AE00500,ALU1110,EVT0010,7/31/2023,4
AE00501,ALU0989,EVT0016,8/13/2025,5
AE00502,ALU0319,EVT0006,1/30/2023,2
AE00503,ALU1075,EVT0018,1/8/2024,1
AE00504,ALU1826,EVT0006,1/30/2024,3
AE00505,ALU1505,EVT0022,5/20/2024,3
AE00506,ALU1466,EVT0017,4/10/2023,3
AE00507,ALU0047,EVT0011,10/6/2025,4
AE00508,ALU0874,EVT0015,11/27/2022,5
AE00509,ALU1617,EVT0029,12/22/2024,5
AE00510,ALU0396,EVT0004,7/13/2025,5
AE00511,ALU1983,EVT0022,3/25/2023,2
AE00512,ALU0097,EVT0017,3/25/2023,3
AE00513,ALU1226,EVT0005,5/18/2023,5
AE00514,ALU0067,EVT0010,10/12/2023,5
AE00515,ALU1522,EVT0004,12/25/2022,5
AE00516,ALU1386,EVT0034,10/5/2024,2
AE00517,ALU1851,EVT0032,4/21/2024,5
AE00518,ALU0636,EVT0002,3/31/2024,5
AE00519,ALU0380,EVT0010,6/22/2023,3
AE00520,ALU0049,EVT0028,7/25/2023,4
AE00521,ALU0434,EVT0027,5/24/2025,4
AE00522,ALU0036,EVT0021,3/14/2025,3
AE00523,ALU0561,EVT0007,8/16/2023,4
AE00524,ALU1968,EVT0013,6/11/2023,1
AE00525,ALU1899,EVT0020,9/20/2025,4
AE00526,ALU1750,EVT0028,5/20/2025,3
AE00527,ALU0259,EVT0017,11/23/2024,4
AE00528,ALU1504,EVT0008,8/15/2023,4
AE00529,ALU0108,EVT0007,10/19/2025,3
AE00530,ALU1094,EVT0004,12/30/2023,2
AE00531,ALU1250,EVT0007,5/13/2024,5
AE00532,ALU0231,EVT0018,8/29/2025,5
AE00533,ALU0221,EVT0008,7/25/2023,5
AE00534,ALU0037,EVT0014,9/14/2025,2
AE00535,ALU0535,EVT0025,12/12/2024,1
